dhcp-host=00:24:21:B4:BC:45,192.168.0.180,elite
dhcp-host=08:00:27:84:35:18,192.168.0.36,HASS
dhcp-host=08:00:27:ED:E2:EE,192.168.0.99,apollo
dhcp-host=D8:07:B6:AA:01:2D,192.168.0.110,hs1032d
dhcp-host=D8:07:B6:AA:0F:29,192.168.0.200,hs103-29
dhcp-host=D8:07:B6:A9:F6:89,192.168.0.122,hs103-89
dhcp-host=00:1E:33:D5:DA:3B,192.168.0.193,titan
dhcp-host=9C:8E:99:88:2D:9B,192.168.0.164,hp-laserjet
dhcp-host=D8:07:B6:AA:0D:A3,192.168.0.121,hs103-a3
dhcp-host=14:0A:C5:53:8D:3B,192.168.0.178,echo-flex-master
dhcp-host=1C:4D:66:A7:BF:A3,192.168.0.183,echo-dot
dhcp-host=74:75:48:B5:3E:2D,192.168.0.194,kindle-will
dhcp-host=48:BA:4E:A4:BD:50,192.168.0.198,hp-inkjet
dhcp-host=74:C2:46:EA:B1:4C,192.168.0.184,henry-kindle
dhcp-host=F4:03:2A:5C:BC:5C,192.168.0.165,echo-flex-boy
dhcp-host=94:EA:32:4F:57:45,192.168.0.147,Walters-iPhone
dhcp-host=44:5D:5E:01:46:A4,192.168.0.182,sonoff-micro
dhcp-host=00:FC:8B:F2:9E:6F,192.168.0.157,walter-kindle
dhcp-host=A8:1D:16:71:A5:75,192.168.0.170,MCSD-chromebook
dhcp-host=14:3F:A6:89:DC:E7,192.168.0.111,sony-tv
dhcp-host=00:F6:20:77:1F:75,192.168.0.196,google-home-mini-MB
dhcp-host=00:24:D2:C9:A0:32,192.168.0.114,tosh-wlan
dhcp-host=CE:58:E8:31:42:C8,192.168.0.154,Jens-iPhone
dhcp-host=B8:27:EB:96:77:F5,192.168.0.187,rpi2
dhcp-host=70:A7:41:76:55:FF,192.168.0.100,usw-16-poe
dhcp-host=CC:A7:C1:0B:F0:EE,192.168.0.141,nest-tstat
dhcp-host=EC:B5:FA:0E:4F:6D,192.168.0.185,hue-bridge
dhcp-host=E8:4C:4A:EA:B8:A2,192.168.0.116,jen-kindle2
dhcp-host=AC:8B:A9:BA:FE:98,192.168.0.142,usw-8
dhcp-host=76:2E:11:7D:7B:6D,192.168.0.188,unknown-rider1
dhcp-host=00:04:20:26:47:65,192.168.0.130,SqueezeboxRadio
dhcp-host=1C:1B:0D:AD:A4:F0,192.168.0.95,proxmox1
dhcp-host=BC:24:11:1D:DA:5F,192.168.0.150,ynh2
dhcp-host=C4:DD:57:CF:66:D7,192.168.0.163,GW2000X
dhcp-host=78:C8:81:6D:16:36,192.168.0.192,playstation
dhcp-host=1C:98:C1:0E:4C:4A,192.168.0.191,ps5-wireless
dhcp-host=BC:24:11:47:FD:F4,192.168.0.102,netbox1
dhcp-host=E4:B2:FB:D7:EB:99,192.168.0.105,iphone-walter
dhcp-host=02:C5:E2:99:E3:AE,192.168.0.186,homeassistant
dhcp-host=4E:F1:C1:C2:58:DC,192.168.0.169,hs103-dc
dhcp-host=BC:24:11:71:E6:69,192.168.0.155,mne-server
dhcp-host=1C:1B:0D:AD:A4:BD,192.168.0.103,limbo-bd
dhcp-host=10:60:4B:7C:AC:7C,192.168.0.190,pve2
dhcp-host=3C:52:A1:21:A9:29,192.168.0.125,hs103-a929
dhcp-host=BC:24:11:79:90:66,192.168.0.158,tandoor
dhcp-host=BC:24:11:2D:C4:49,192.168.0.106,unifi
dhcp-host=3C:71:BF:C5:B4:A7,192.168.0.140,zig
dhcp-host=BC:24:11:E2:79:A7,192.168.0.119,paperless-ngx
dhcp-host=BC:24:11:C4:8F:03,192.168.0.104,graylog
dhcp-host=B4:B7:42:F1:38:73,192.168.0.113,kindle-fire
dhcp-host=E8:70:72:08:3E:37,192.168.0.107,BroadLink-Remote-08-3e-37
dhcp-host=BC:24:11:A4:CE:80,192.168.0.189,n8n
dhcp-host=BC:24:11:81:A4:41,192.168.0.171,pbs01
