Okay, here is the verbatim transcript of the audio file you provided, with timestamps and speaker labels.

**0:00** **Will:** Model train thoughts. So, under the northern village, we'll have a single piece of plywood cut for the entire northern village, including inserts that go all the way to the drywall. And it's have a felt bottom so it protects the top of the media cabinets and use saw horses to hold it up.

**0:30** **Jen:** It's protecting our cabinet, but then also gives us a really firm base to to build on top of. And then if we model while it's up next Christmas, we don't have to worry about like we did this year about getting it on the...

**0:45** **Will:** Okay. And then we're going to add a 22-inch radius ground level. So it'll be a so you'll have this, there'll be a switch there.

**0:59** **Jen:** Switch toward the back.

**1:01** **Will:** Right, so it can go straight and then it'll cut it's going to have to cut under to have enough.

**1:09** **Jen:** Well, is there enough room on if you're looking at it toward the front door, is there enough room on the right side to tunnel back under the train? Is this high enough?

**1:20** **Will:** It'll need to be. I think so because this is built up.

**1:25** **Jen:** Mhm.

**1:26** **Will:** You know, it's two inches plus another inch, three.

**1:29** **Jen:** Let me see that train.

**1:32** **Will:** Train.

**1:35** **Jen:** Here's the train.

**1:39** **Jen:** Yep.

**1:40** **Will:** Yeah.

**1:41** **Jen:** Yep, for sure it'll go under. Okay, so we'll we'll tunnel out a bridge and tunnel out a bridge. And then where is it going to go from here?

**1:55** **Will:** And then from here, it's going to go there again low. Um Oh like level with the bottom board.

**2:05** **Will:** Right. And it might even be the sort of thing where it's got a fence. Kids don't fall into where the train's going low. Not a tunnel, but a ditch. And then hopefully be able to reconnect with the track there.

**2:20** **Jen:** So it'll it'll start coming back up.

**2:22** **Will:** Yeah, I think that'll work.

**2:26** **Jen:** So it's going to take up this much of the space. So my town is going to move in maybe six inches.

**2:33** **Will:** Well, this will be up high so it can go under.

**2:36** **Jen:** Can go under it. Mhm.

**2:39** **Jen:** So we need to build the town up pretty high.

**2:43** **Will:** I figured another two-inch piece of foam.

**2:48** **Jen:** Okay.

**2:49** **Will:** What do you think? We're just one inch.

**2:51** **Jen:** And well, what about the train station in the back? Is the train station going to be low?

**2:55** **Will:** I think the train station needs to be up high. It's kind of a...

**2:58** **Jen:** Up high. But then the track's going to be down lower. So how does that work?

**3:06** **Will:** Yeah, the train needs to be station level, you're right.

**3:12** **Jen:** Maybe we build up part of the town but the train station part down here is low. And then we build up the town that way. So it's like one, two, three level town. Does that make sense?

**3:31** **Will:** Yeah, so so you're saying on the TV side, let's say we call that the on the west side, TV side, it's up way high and then another level that's lower and then a third level that's lowest.

**3:44** **Jen:** That the track level, the the lowest track level is the lowest.

**3:48** **Will:** Right, where it's going to be track level.

**3:53** **Jen:** So the town square might end up being super tiny. Like this tiny.

**4:00** **Will:** I think that's okay. I don't think we'll be unhappy with that.

**4:02** **Jen:** No, I won't be. So they kind of painted it.

**4:06** **Will:** You even got a lamp in there.

**4:07** **Jen:** It's got a lamp. Whoa.

**4:23** **Jen:** Okay, I think this is what I think.

**4:26** **Jen:** We need to one task, cut the board, cut a big board.

**4:31** **Jen:** How are we going to disassemble this so that we can figure out how to work on it?

**4:39** **Jen:** And are we going to change the track? Like I don't want to work on...

**4:42** **Will:** No, we can we can go with the track on this.

**4:44** **Jen:** No, we still got more track that you do.

**4:46** **Will:** Oh, just the uh...

**4:48** **Jen:** I want you to put that in before I start placing buildings. I want the final track placement before I start placing buildings.

**4:56** **Jen:** We're not.

**4:58** **Jen:** I want it in place. That's what I'm saying. Like this is in place.

**5:02** **Will:** Yeah, all the way down.

**5:03** **Jen:** Yes, I want it permanent in place. Um not just proof of concept because it'll still be a little bit changed, you know? And for this kind of layout, one little inch makes a big difference.

**5:17** **Will:** Whoa.

**5:19** **Will:** At some point, when is it the next year's job?

**5:24** **Will:** Good.

**5:26** **Will:** Well, for now, let's leave this here.

**5:29** **Jen:** Okay.

**5:30** **Will:** That'll be just a little bit. This is helpful.

**5:34** **Will:** Like I said, all this has to be down by the 25th of January. We're already halfway through January.

**5:42** **Jen:** We are, but...

**5:58** **Will:** I think we're still fooling with what goes where.

**6:02** **Jen:** Okay.

**6:03** **Will:** And that's okay. I'll leave it on. I think uh we we make it to where maybe we hold here, you know, for the year. Um and I just focus on the next couple of weeks documenting it good and we pick it up next year. So we have...

**6:20** **Jen:** You mean next year like in a couple of months?

**6:23** **Jen:** I mean like when you say next year.

**6:26** **Will:** Well, go ahead and take...

**6:28** **Jen:** Yeah. Like I I think what my plan is that's how, you know, make a make a table for it. So we can remove it from here. We figure out how to bust this up a little bit. But then we when we want to work on it this year later on, we get the table out because it's already the shape that we need it. We put it down and then we put the models on it and then you can play with the train layout and we can play around with it. You see what I'm saying?

**6:54** **Will:** We can put that in the shop at your parents.

**6:56** **Jen:** Right. Well yeah, or we can keep it here and the new thing that we're going to that full we can put the full thing on or on the saw horses. Yeah. So um what I'm thinking is a way to just break it down and then get it back out and work on it a little bit along.

**7:11** **Will:** Okay. Yeah, yeah. So we so really it is time to break it down.

**7:14** **Jen:** Yeah.

**7:15** **Jen:** Um and it's time to break it down but in a way that keeps this intact. That's my thoughts for it. And for this side, maybe same thing, though you might just want a table for over there instead of a saw horse because it's a little more space. Um but we still do if we can find some butcher paper or something that we can or we can measure.

**7:41** **Will:** Or just take a picture.

**7:42** **Jen:** We need to measure so we can cut.

**7:47** **Jen:** And I don't know how to keep this track together, you know, because you got the...

**7:51** **Will:** Well, this track is mostly I I don't know if I'm 100% on.

**7:59** **Jen:** I think this one um might just go completely to the um back to the drawing board.

**8:09** **Jen:** Oh.

**8:10** **Will:** I might make a bigger table. Like if you want to bop over here.

**8:13** **Jen:** You want me to come over?

**8:14** **Will:** Yeah.

**8:15** **Will:** Door's dirty.

**8:17** **Jen:** We're painting it. We're going to paint it dark.

**8:19** **Will:** I got a chip knocked out of it.

**8:20** **Jen:** It's just what these boys are doing. It's insanity what these boys are doing.

**8:26** **Will:** Um a table that comes from here. We realize it's not going to be substantially bigger. The table's going to come of going to be a big giant foam piece. Very bigger than the table. So the new table is going to go from here to there. So it's not substantially larger. Roughly this big. I don't think we want it coming any further out.

**8:53** **Jen:** I don't think so.

**8:54** **Will:** Unless I want to make it big enough to get a 42 inch circle.

**8:57** **Jen:** Yeah.

**8:58** **Jen:** Oh, wait, wait, wait, wait, wait, wait.

**8:59** **Will:** 42 inch.

**9:00** **Jen:** This is what we do. We make this big enough so that it can handle a 42 inch circle. But make it split so that your passenger train can get all the way across. But the other thing is so obviously know that and then we get big passenger trains so you'll have your mental completeness. But we get a little passenger train to go all the way across.

**9:23** **Will:** That would be 42 inch.

